ocr_text,actual_index,actual_name,actual_expiration_date
"RUSCH atovilo RUSCH starile HUCH steril
Pack
EVERT
N
Nasopharyngeal Airway
Nasopharyngeal Airway
Nasopharyngealubus
Sonda nasopharynge
Via stres nasofaring
Tubo nasofaringeo
Tubo rasofaringeo
Nasolaryngeal agu
Naofaryngeaie tube
no Nascfaryngale uhver
M
ATTENTION MA
Nazofaringeal havayolu
Runka nosowo-gardows
Ρινοφαρυγγικός αεραγωγός
Назофарингеальная дыхательная трубка
cs Nazofaryngen dy kanya
ja鼻咽頭エアウェイ
zh: 鼻咽通气导管
ko 코인두용 카테터
(01) 04026704335558
(17) 261028
(11) 211105
RUSCH sterile RUSCH starile
(10) KME21L0423
REF 125410
(IPN042357)
SIZE Ch 28
LD 7.0 mm 0.0 9.3 m
LOT KME21L0423 Qty 1
EC REP
2021-11-05
2026-10-28
Teleflex
CE 0124
Tees Medical and
21118
La PT 2577 Jaan Peran A
34800 Kamunting, Peri Malaysia
TexMedica
DA Business & Technology Pa
Dubin Road, Athione
Co Westmeath, Irwand",108,,2.0
"REF 19502EU
(PN055737)
Humid-Vent
Filter Small S
BACTERIALVIRAL FILTER ME
IN BAKTERIEN/VIRENFILTER-ME
FILTRE BACTERIENVIRAL-HAVE
FILTRO BACTERIALMIRAL HME
FILTRO ANT-BATTERICOVIRALE-ME
FILTROS BACTERIANOS/VIRAISHME
FUKTVARMEVALARE BAKTERIEMIRUS FILTER
BACTERIE/VIRAAL FILTER-HME (KUNSTNEUS)
BAKTERIEMIRAL FILTER HME
BAKTERIYELAVIRAL HME SI NEM DEGISTIRICIFILTRE
FILTR ANTYBAKTERYJNCIANTYWIRUSOWY Z WYMIENNIKIEM CIEPŁAT WILGOC
BAKTERIALNIMIROVY FILTR HE
BAKTERIALNYMIRUSOVÝ FILTER +ME
LOT KMZ20MD475 Qty 1
2020-12-11
CE 0124
2025-11-28
Tenfes Medical Sdn Bhd
Lot PT 2577, Jalan Perusahaan
34800 Kamunting, Perak, Malay
Made in Malaysia
Telefe Medical
IDA Business & Technology Park
Dubin Road, Athione
Co Wewah, Ireland
Teleflex
(01) 14026704673091",256,,78.0
"3M Tegaderm Film
Trampant Film Dsing Frame Style
Parent Transparent Adhésif avec Cadre de Pose
Transpartand mit Rahmenapplikation
Medicacione trasparente con comice
Apdate transparenta con marco de aplicación
Taranta folle met aanbrengframe
Transparental krytí s rámečkem
Transparentné filmové krytie s rimbekom
Prozoren obil na okvirju
Raamiga bipaistev kileplaster
Caurspidigs pilves veida pārsējs ar papira limi
Permatomas tvarstis-plevele au rémellu
REF 1623W
Pc de pelicula transparente com moldura de aplicação Pansament transparent de acoperire cu ram de aplicare
θεμα Διάφανου Φιλμ με κορνίζα
© Прозрачная пленочная наклейка
Or Fm On-Pencere Sisteml
Tant and med ramsystem
Tparent Simforbinding med rammesystem
ⒸTransparent Fimb
Olignilyd haavakalvo kinnityskanya
Poczysty opatrunek foliowy z ram
10
UDI
der Keretes tipus
26inx 2 in
6cm x 7 cm
04064035052089
Прохора плівкова пов'язка на
Proziran povoj a okvirom
Прозрачна филм-пре
Pruzima prekrivka sa okvirom
MDCE 0297
Made in Germany
O 3M 2022
170
M
SM Deutschland GmbH All rights reserved
Heath Care Busin
Car-Schurz-St. 1
41453 Neuss, Germany
3M and Tegaderm are
trademark of 3M
Patents: 3M.com/Pat
DV-9050-0098-5/03
IAA",522,,81.0
"Holthaus Medical
YPSISAN
AMOCE
0451
Vlieskompressen
Nonwoven swabs
Compressa in T. N. T.
无纺布垫
カットガーゼ
Compresses en nontissé
Compresas de tela sin tejer
2 St/Pcs
10x10 cm
REF 13342
Medical Gmt & Co. KG Karlstraße 8 D-42097 Remscheid
Made in
Germany",447,,8.0
"MEDICARE
Краник 3-ходовий
3-way stop-cock
Краник 3-ходовой
Виробник ТОВ ""До
syn.
13, M.
Kula ofn, 07700, pala
A
DOPOMOGA-1 L
13. Shovchenka street,
07700, Yagotin town
Kylv region, Ukraine
STERLEGO
2 KEF: 3WSC
LOT
582304
2023-04
2028-03
214",399,,42.0
"CITSICTIO
Contenuto Varis purch
dalle lace
-RUSCH sterile RUSCH
Stent nur bel
Lichgeschützt auber
tacken und kl lagem
Star garante s
remballaget intact et
Stocker dans an andro
propre et sac à Tabri de la
Amiere at de chaleur
SUSOU
RUSCH GOLD
Sande
CE 0124
Teater Medical Sen. Brd
Let PT 2577 Jan Pa
180003
PN050420)
SIZE Ch 10 OD 3.3mm/3m
QTY 1
34800 Kamunting Para MTKMA22F0521
T
IDA and Technology Pe
Dubin Rod A
Co Wasmand
2027-05-28
2022-08-24
+
(01) 14028704198068
(17) 270828
(11) 220624
(10) KMA22F0821
Teleflex",639,,10.0
"i-gel
Vi
50-90kg
kg 4
COC
Suprigh
Dispositivo glodeo Cynpernay
get Supraglottish Latel
Supragioticks dychacia
Sub
Cupc
Spragsbe
Suplatnen keinoinale
po
Digel viigerklinis vamadelias
Rurka ustro-gardiows supraglotti
インターサージカル gal
PLEA
REF 8204000
LOT 32 207370
2025-04
عمر موالي فوق المزمار
5030267 073696 >
CE
1639
STERILE EO
Rx ONLY
AMD MR
UA
EC REP
Intersurgical Ltd,",15,,45.0
"BRAUN
BISRAUN
Vasofix Safety
15
FEP
166 x 2""
(1,7 x 50 mm)
16G
196 ml/min
REF 42881725-01
2026-11-01
2021-11-09
LOT 21M09G8253
Safety NV Catheter with
Injection port
Sicherheitsvenenverwell
katheter mit Injektionsport
nopr
Bezpečnostni katetr s
Injekčnim parte
Sikkerhets-NV-kateter mid
injektionsport
Ohutus V katerter koos
stimisavag
Caniter intravenoso de
seguridad con puerta de
yección
Injek
tilla varustetts
turvakarieti
②●国色效
CE
0123
Braun Melung A
4209 Melaugh
B BRAUN",526,,188.0
"H
BY INTERBURGICAL IN LITHUAN
REF $250000
LOT 32405839
ACE MD
1639
Berkshire, RG41 2RZ, UK
Wokingham, Berkshire, 041 22,UK
89650258
T +44 (0)118 650 300
4
3 030267 070060"">
EC REP
Darbuted in the USA by
Incorporated, 6757 K
Syracuse, NY 13087 78-9633
@g.com
TERSURGICAL INTERSURGICAL
3000000000030099960
41 28Z UK",262,,46.0
"DRAUN
BIBRAUN
Vasofix Safety
FEP
18G x 1%""
(1,3 x 45 mm)
96 ml/min
REF 42681308-01
2027-10-01
2022-10-10
LOT 22L 10G8251
Safety NV Catheter with
Injection port
18G
DE Sicherheitsvenenverwell-
katheter mit Injektionsport
1 Безопасен интравенозн
катетър секционен
порт
Bezpečnostní katetr Vs
injekčním portem
Sikkerheds-IV-kateter med
Injektionsport
Ohutus IV kateeter koos
süstimisavaga
Catéter intravenoso
de
seguridad con puerto de
Inyección
Injektioportilla varustettu
laskimon turvakatetn
B
CE 0125
0123 STELD
Made in Malaysia 152762 1217
Braun Melsungen AB
34209 Melsungen
Germany
www.bliraur.com
BIBRAUN",529,,128.0
"ASID BONZ
A MID-GLOBE COMPANY
Absaugkatheter gerade, mit 2 Augen
REF 68 01 12
0:4.0 mm
D
MD
Suction catheter straight, with 2 eyes
GB
CE 0482
QTY 1 2022-09
2027-08
LOT 2209
K36",129,,15.0
"BD Neoflon Pro
BD Instaflash"" Needle Technology
BD Violon Material/BD Luer-Lok
26a 0.6 x 19mm CE
14 mL/min
391379
LOT 3005551P64
2023-01-01
2025-12-31
101) 003829 03913794",544,,14.0
"GRAUN
D BRAUN
Vasofix
PEP
14 G x 2""
(2,2 x 50 mm)
343 ml/min
Safety
REF 4268210S-01
146
2
2026-07-01
2021-07-20
LOT 21026G8251
Safety IV Catheter with
Injection port
Sicherheitsvenenverweil
katheter mit Injektionsport
Безопасен интравеноз
катетър с инжек
nopr
Bezpečnostni katetr Vs
injekčnim portem
DK Sikkerheds-V-kateter med
injektionsport
Ohutus V kateeter koos
süstimisavaga
ES Catéter intravenoso de
seguridad con puerto de
Inyección
Injektioportilla varustettu
laskimon turvakatetri
②▲效
CE
0123 STERILEED
Made in Malaysia 18327365 1217
B. Braun Melsungen AB
34209 Melsungen
Germany
www.bbraun.com
B BRAUN
10",524,,215.0
"корити
ВОЛЕС
СЕЧОПРИЙМАЧ ""ВОЛЕС"" 2000 МЛ
31-краном стерильний
TERILE
Ста кінцевий термін придатності зар
Jiangsu Kangin Medical Instrument Co. LTD
No S Changzheng Road, Dongshu village Zheng Town ju
District, Changzhou City, Jiangsu Province 213111, Chi
д. Донгшу віллаге, Жанглу Таун,
00
Вуджін Дієвік туанжоу Сіті Джіангоу Провіна, 213111, Китай
Уповноважений представних виробника в Украи
ТОВ «ЛА МЕД»
04211, Україна, мита, пр-т Героїв Сталінграда, буд. 2-кор
Тел.: (044) 3000-
sale@lamed.com
www.lemed.com.
2000 ML",651,,8.0
